evidence_id,paper_id,title,year,paper_type,original_sentence,extracted_claim,independent_variable,dependent_variable,moderating_variables,controlled_variables,mechanism,fatigue_indicator,equation_or_model,parameter_values,experimental_method,characterization_method,evidence_type,evidence_strength,direct_or_indirect,is_conflicting,notes,phenomenon,material,process,build_orientation,heat_treatment,surface_state,surface_roughness_Ra,surface_roughness_Rz,stress_ratio_R,stress_amplitude,fatigue_type,frequency,temperature,environment,sample_geometry,pore_size,sqrt_area,distance_to_surface,pore_location,pore_aspect_ratio,porosity,defect_type,testing_method,condition_boundary,missing_condition_fields,creation_time,source_field,usable_for_validation
EV_LPBF_0008_0000,LPBF_0008,Effect of surface roughness on fatigue performance of additive manufactured Ti–6Al–4V,2015,surface_roughness,Effect of surface roughness on fatigue performance of additive manufactured Ti–6Al–4V,在 Ti-6Al-4V 条件下，Paper investigates effect of surface roughness on fatigue performance，通过表面缺口效应主导裂纹起裂。,surface_roughness_Ra,Nf_life,,material=Ti-6Al-4V; process=,surface_roughness_induced_cracking,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (surface_roughness),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"该机制适用于表面粗糙度较高的条件，如 as-built 表面。在 polished/machined 表面中，该机制可能被内部孔隙起裂机制取代。材料: Ti-6Al-4V, 表面粗糙度: Ra=, Rz=",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0009_0000,LPBF_0009,Fatigue Performance of Additively Manufactured Ti-6Al-4V: Surface Condition vs. Internal Defects,2020,surface_roughness,Fatigue Performance of Additively Manufactured Ti-6Al-4V: Surface Condition vs. Internal Defects,在 Ti-6Al-4V 条件下，Paper investigates effect of surface roughness on fatigue performance，通过表面缺口效应主导裂纹起裂。,surface_roughness_Ra,Nf_life,,material=Ti-6Al-4V; process=,surface_roughness_induced_cracking,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (surface_roughness),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"该机制适用于表面粗糙度较高的条件，如 as-built 表面。在 polished/machined 表面中，该机制可能被内部孔隙起裂机制取代。材料: Ti-6Al-4V, 表面粗糙度: Ra=, Rz=",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0010_0000,LPBF_0010,Surface Treatment of Powder-Bed Fusion Additive Manufactured Metals for Improved Fatigue Life,2018,surface_roughness,Surface Treatment of Powder-Bed Fusion Additive Manufactured Metals for Improved Fatigue Life,在 Ti-6Al-4V 条件下，Paper investigates effect of surface roughness on fatigue performance，通过表面缺口效应主导裂纹起裂。,surface_roughness_Ra,Nf_life,,material=Ti-6Al-4V; process=,surface_roughness_induced_cracking,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (surface_roughness),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"该机制适用于表面粗糙度较高的条件，如 as-built 表面。在 polished/machined 表面中，该机制可能被内部孔隙起裂机制取代。材料: Ti-6Al-4V, 表面粗糙度: Ra=, Rz=",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0011_0000,LPBF_0011,Effect of Surface Roughness on Fatigue Strength of Ti-6Al-4V Alloy Manufactured by Additive Manufacturing,2019,surface_roughness,Effect of Surface Roughness on Fatigue Strength of Ti-6Al-4V Alloy Manufactured by Additive Manufacturing,在 Ti-6Al-4V 条件下，Paper investigates effect of surface roughness on fatigue performance，通过表面缺口效应主导裂纹起裂。,surface_roughness_Ra,Nf_life,,material=Ti-6Al-4V; process=,surface_roughness_induced_cracking,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (surface_roughness),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"该机制适用于表面粗糙度较高的条件，如 as-built 表面。在 polished/machined 表面中，该机制可能被内部孔隙起裂机制取代。材料: Ti-6Al-4V, 表面粗糙度: Ra=, Rz=",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0012_0000,LPBF_0012,Effect of hirtisation on the roughness and fatigue performance of porous titanium lattice structures,2023,surface_roughness,Effect of hirtisation on the roughness and fatigue performance of porous titanium lattice structures,在 Ti-6Al-4V 条件下，Paper investigates effect of surface roughness on fatigue performance，通过表面缺口效应主导裂纹起裂。,surface_roughness_Ra,Nf_life,,material=Ti-6Al-4V; process=,surface_roughness_induced_cracking,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (surface_roughness),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"该机制适用于表面粗糙度较高的条件，如 as-built 表面。在 polished/machined 表面中，该机制可能被内部孔隙起裂机制取代。材料: Ti-6Al-4V, 表面粗糙度: Ra=, Rz=",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0013_0000,LPBF_0013,Effects of Build Direction and Heat Treatment on the Defect Characterization and Fatigue Properties of Laser Powder Bed Fusion Ti6Al4V,2024,hip_heat_treatment,Effects of Build Direction and Heat Treatment on the Defect Characterization and Fatigue Properties of Laser Powder Bed Fusion Ti6Al4V,在 Ti-6Al-4V 条件下，Paper studies effect of HIP/heat treatment on defects and fatigue behavior，通过 HIP 闭合孔隙缺陷。,HIP_pressure,porosity,,material=Ti-6Al-4V; process=,HIP_defect_closure,porosity,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (hip_heat_treatment),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0014_0000,LPBF_0014,The role of microstructural evolution on the fatigue behavior of additively manufactured Ti–6Al–4V alloy,2022,hip_heat_treatment,The role of microstructural evolution on the fatigue behavior of additively manufactured Ti–6Al–4V alloy,在 Ti-6Al-4V 条件下，Paper studies effect of HIP/heat treatment on defects and fatigue behavior，通过 HIP 闭合孔隙缺陷。,HIP_pressure,porosity,,material=Ti-6Al-4V; process=,HIP_defect_closure,porosity,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (hip_heat_treatment),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0015_0000,LPBF_0015,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation,2020,fcgr_paris_law,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation,在 Ti-6Al-4V 条件下，Paper reports fatigue crack growth rate data and Paris law parameters，通过裂纹扩展机制。,Delta_K,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0015_0001,LPBF_0015,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation,2020,fcgr_paris_law,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation,在 Ti-6Al-4V 条件下，Paper examines effect of stress ratio on crack growth behavior，通过裂纹扩展机制。,stress_ratio_R,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0016_0000,LPBF_0016,Near-threshold fatigue crack growth rates of laser powder bed fusion produced Ti-6Al-4V,2020,fcgr_paris_law,Near-threshold fatigue crack growth rates of laser powder bed fusion produced Ti-6Al-4V,在 Ti-6Al-4V 条件下，Paper reports fatigue crack growth rate data and Paris law parameters，通过裂纹扩展机制。,Delta_K,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0016_0001,LPBF_0016,Near-threshold fatigue crack growth rates of laser powder bed fusion produced Ti-6Al-4V,2020,fcgr_paris_law,Near-threshold fatigue crack growth rates of laser powder bed fusion produced Ti-6Al-4V,在 Ti-6Al-4V 条件下，Paper examines effect of stress ratio on crack growth behavior，通过裂纹扩展机制。,stress_ratio_R,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0017_0000,LPBF_0017,Representing crack growth in additively manufactured Ti-6Al-4V,2018,fcgr_paris_law,Representing crack growth in additively manufactured Ti-6Al-4V,在 Ti-6Al-4V 条件下，Paper reports fatigue crack growth rate data and Paris law parameters，通过裂纹扩展机制。,Delta_K,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0017_0001,LPBF_0017,Representing crack growth in additively manufactured Ti-6Al-4V,2018,fcgr_paris_law,Representing crack growth in additively manufactured Ti-6Al-4V,在 Ti-6Al-4V 条件下，Paper examines effect of stress ratio on crack growth behavior，通过裂纹扩展机制。,stress_ratio_R,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0018_0000,LPBF_0018,Fatigue crack growth in Ti-6Al-4V specimens produced by Laser Powder Bed Fusion and submitted to Hot Isostatic Pressing,2022,fcgr_paris_law,Fatigue crack growth in Ti-6Al-4V specimens produced by Laser Powder Bed Fusion and submitted to Hot Isostatic Pressing,在 Ti-6Al-4V 条件下，Paper reports fatigue crack growth rate data and Paris law parameters，通过裂纹扩展机制。,Delta_K,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0018_0001,LPBF_0018,Fatigue crack growth in Ti-6Al-4V specimens produced by Laser Powder Bed Fusion and submitted to Hot Isostatic Pressing,2022,fcgr_paris_law,Fatigue crack growth in Ti-6Al-4V specimens produced by Laser Powder Bed Fusion and submitted to Hot Isostatic Pressing,在 Ti-6Al-4V 条件下，Paper examines effect of stress ratio on crack growth behavior，通过裂纹扩展机制。,stress_ratio_R,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0019_0000,LPBF_0019,Overloading effect on transient fatigue crack growth of Ti-6Al-4V parts produced by Laser Powder Bed Fusion,2022,fcgr_paris_law,Overloading effect on transient fatigue crack growth of Ti-6Al-4V parts produced by Laser Powder Bed Fusion,在 Ti-6Al-4V 条件下，Paper reports fatigue crack growth rate data and Paris law parameters，通过裂纹扩展机制。,Delta_K,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0019_0001,LPBF_0019,Overloading effect on transient fatigue crack growth of Ti-6Al-4V parts produced by Laser Powder Bed Fusion,2022,fcgr_paris_law,Overloading effect on transient fatigue crack growth of Ti-6Al-4V parts produced by Laser Powder Bed Fusion,在 Ti-6Al-4V 条件下，Paper examines effect of stress ratio on crack growth behavior，通过裂纹扩展机制。,stress_ratio_R,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0020_0000,LPBF_0020,Fatigue crack growth under corrosive environments of Ti-6Al-4V specimens produced by SLM,2020,fcgr_paris_law,Fatigue crack growth under corrosive environments of Ti-6Al-4V specimens produced by SLM,在 Ti-6Al-4V 条件下，Paper reports fatigue crack growth rate data and Paris law parameters，通过裂纹扩展机制。,Delta_K,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0020_0001,LPBF_0020,Fatigue crack growth under corrosive environments of Ti-6Al-4V specimens produced by SLM,2020,fcgr_paris_law,Fatigue crack growth under corrosive environments of Ti-6Al-4V specimens produced by SLM,在 Ti-6Al-4V 条件下，Paper examines effect of stress ratio on crack growth behavior，通过裂纹扩展机制。,stress_ratio_R,da_dN_crack_growth_rate,,material=Ti-6Al-4V; process=,crack_propagation,da_dN_crack_growth_rate,,,,,equation_parameter_evidence,moderate,indirect,,Auto-extracted from title/folder classification (fcgr_paris_law),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
